# Region      : all region0
# Cells       : 4250
# Volume      : 1.000000e+01
# Time        	average(theta)	average(psi)
2628000       	1.558901e-01	-1.310004e+02
5256000       	1.492097e-01	-1.580699e+02
7884000       	1.492094e-01	-1.580711e+02
10512000      	1.492092e-01	-1.580724e+02
13140000      	1.546077e-01	-1.458348e+02
15768000      	1.897825e-01	-1.089186e+02
18396000      	2.330618e-01	-7.762372e+01
21024000      	2.748491e-01	-5.457334e+01
23652000      	3.100306e-01	-3.645680e+01
26280000      	2.939219e-01	-2.605973e+01
28908000      	2.425468e-01	-2.840212e+01
31536000      	1.954566e-01	-5.422688e+01
