# Region      : all region0
# Cells       : 4250
# Volume      : 1.000000e+01
# Time        	average(theta)	average(psi)
2628000       	2.409946e-01	-7.657874e+01
5256000       	2.335748e-01	-9.930074e+01
7884000       	2.323984e-01	-1.010767e+02
10512000      	2.317122e-01	-1.024308e+02
13140000      	2.358966e-01	-9.483810e+01
15768000      	2.628293e-01	-7.030257e+01
18396000      	2.933398e-01	-4.944433e+01
21024000      	3.236366e-01	-3.385641e+01
23652000      	3.480339e-01	-2.137325e+01
26280000      	3.360580e-01	-1.455656e+01
28908000      	3.004443e-01	-1.550080e+01
31536000      	2.683736e-01	-3.045826e+01
