# Region      : all region0
# Cells       : 4250
# Volume      : 1.000000e+01
# Time        	average(T)	average(theta)	average(thetag)	average(thetal)	average(psi)
2628000       	2.586517e+02	2.724050e-01	2.624050e-01	1.000000e-02	-2.506796e+01
5256000       	2.586500e+02	2.724268e-01	2.624268e-01	1.000000e-02	-2.506738e+01
7884000       	2.593910e+02	2.724490e-01	2.624490e-01	1.000000e-02	-2.506680e+01
10512000      	2.684759e+02	2.724714e-01	2.624714e-01	1.000000e-02	-2.506622e+01
13140000      	2.739173e+02	2.676531e-01	7.916716e-02	1.884859e-01	-2.512198e+01
15768000      	2.795456e+02	2.633300e-01	3.005646e-03	2.603243e-01	-2.808275e+01
18396000      	2.851927e+02	2.751020e-01	0.000000e+00	2.751020e-01	-3.961434e+01
21024000      	2.824813e+02	3.002722e-01	0.000000e+00	3.002722e-01	-3.372482e+01
23652000      	2.754680e+02	3.239279e-01	0.000000e+00	3.239279e-01	-2.318125e+01
26280000      	2.720779e+02	2.843561e-01	1.556269e-01	1.287292e-01	-2.000813e+01
28908000      	2.687157e+02	2.727129e-01	2.417717e-01	3.094123e-02	-2.492897e+01
31536000      	2.597347e+02	2.727295e-01	2.627295e-01	1.000000e-02	-2.493287e+01
