# Region type : patch top
# Faces       : 50
# Area        : 1.019804e+01
# Scale factor: 1.000000e+00
# Time        	average(U)	average(T_F)
2628000       	-3.455708e-12	2.586500e+02
5256000       	-3.433705e-12	2.586500e+02
7884000       	-3.406453e-12	2.599204e+02
10512000      	-3.376031e-12	2.694147e+02
13140000      	-5.166966e-09	2.782621e+02
15768000      	-1.411789e-08	2.840918e+02
18396000      	-1.928301e-08	2.853417e+02
21024000      	-2.657866e-08	2.816770e+02
23652000      	-2.191762e-08	2.720000e+02
26280000      	-1.250575e-11	2.702583e+02
28908000      	-3.804562e-12	2.655000e+02
31536000      	-3.476886e-12	2.586500e+02
