# Region type : patch top
# Faces       : 50
# Area        : 1.019804e+01
# Scale factor: 1.000000e+00
# Time        	average(U)	average(T_F)
2628000       	-3.455485e-12	2.586500e+02
5256000       	-3.433543e-12	2.586500e+02
7884000       	-3.406352e-12	2.599200e+02
10512000      	-3.375989e-12	2.694150e+02
13140000      	-5.166966e-09	2.782620e+02
15768000      	-1.411788e-08	2.840920e+02
18396000      	-1.916281e-08	2.853420e+02
21024000      	-2.570198e-08	2.816770e+02
23652000      	-2.118517e-08	2.720000e+02
26280000      	-1.238172e-11	2.702580e+02
28908000      	-3.802324e-12	2.655000e+02
31536000      	-3.478313e-12	2.586500e+02
